course code,course name,credits
PHIL 200,Business Ethics,3
PHIL 201,Social and Political Philosophy,3
PHIL 202,Contemporary Moral Problems,3
PHIL 203,Ethics,3
PHIL 204,World Religions,3
PHIL 208,Introduction to Jewish Philosophy,3
PHIL 209,Philosophy of Religion,3
PHIL 212,"Markets, Ethics, and Law",3
PHIL 241,Ethical Issues in Healthcare,3
PHIL 244,Philosophy of Art,3
PHIL 302,Introduction to Jewish Mysticism,3
PHIL 306,Philosophy of Science,3
PHIL 307,Black Thought and Philosophy,3
PHIL 308,Topics in Jewish Theology,3
PHIL 313,Killing and Letting Die,3
PHIL 315,Metaphysics,3
PHIL 316,Time Travel,3
PHIL 320,Theory of Knowledge,3
PHIL 322,Existentialism,3
PHIL 327,"Race, Gender, Science",3
PHIL 335,Buddhist Philosophy,3
PHIL 337,Daoist Thought,3
PHIL 338,Religion at the Crossroads of Culture,3
PHIL 344,Science and Religion,3
PHIL 346,Philosophy of Law,3
PHIL 448,Environmental Ethics,3
POSC 285,Introduction to Political Theory,3
POSC 333,Contemporary Political Ideologies,3
POSC 435,Modern Political Thought,3
POSC 436,African Politics and Literature,3
PSYC 447,Psychology of the Arts,3
RUSS 211,Russian Reading and Composition: Short Fiction,3
SPAN 201,Spanish Reading and Composition,3
THEA 102,Introduction to Performance,3
THEA 104,Introduction to Theater and Drama,3
THEA 106,The Theatrical Experience Abroad,3
THEA 126,Performance for Life,3
THEA 200,Introduction to Theatre Production,3
THEA 202,Introduction to Theatre Design,3
THEA 203,Introduction to Costuming,3
THEA 204,Introduction to Voice and Speech,3
THEA 205,Introduction to Stage Movement,3
THEA 212,Jews and American Pop Culture,3
THEA 226,Fundamentals of Acting I,3
THEA 230,Voice and Speech for the Theatre,3
THEA 327,Fundamentals of Acting II,3
THEA 240,Black History Live on Stage,3
THEA 242,Page to Stage: Making Theater,3
THEA 300,Scenic Construction,3
THEA 301,Fundamentals of Properties Construction,3
THEA 302,Fundamentals of Stage Lighting,3
THEA 304,Fundamentals of Audio for the Theatre,3
THEA 305,Fundamentals of Costume Construction for the Stage,3
THEA 308,Fundamentals of Costume Crafts,3
THEA 309,Fundamentals of Stage Management,3
THEA 311,Fundamentals of Scene Design,3
THEA 314,Advanced Healthcare Theatre Communication,3
THEA 321,Writing for Performance,3
THEA 322,Directing for Performance,3
THEA 330,Voice and Speech for the Theatre II,3
THEA 335,Movement II,3
THEA 340,African American Theater,3
THEA 360,Fundamentals of Oral Interpretation,3
THEA 361,Acting Tech for Business Professionals,3
THEA 409,Stage Management II,3
WOMS 205,Women in the Arts and Humanities,3
WOMS 216,Introduction to Feminist Theory,3
WOMS 327,"Race, Gender, Science",3
WOMS 332,"Gender, Race, and Ethnicity",3
WOMS 336,Feminist Cultural Studies,3
