course code,course name,credits,upper level
SPAN 308,Contemporary Spain II,3,True
SPAN 310,Grammar and Oral Communication,3,True
SPAN 314,Spanish Phonetics and Phonology,3,True
SPAN 315,Spanish for Healthcare Professionals,3,True
SPAN 352,Introduction to Business Spanish,3,True
SPAN 355,Special Topics,3,True
SPAN 401,Advanced Spanish Composition and Grammar II,3,True
SPAN 403,History of the Spanish Language,3,True
SPAN 405,Advanced Oral Communication and Culture,3,True
SPAN 406,Advanced Spanish Language,3,True
SPAN 415,Latin American Literature and Its Political Context,3,True
SPAN 416,Cervantes: Don Quijote,3,True
SPAN 420,Topics: Medieval Literature,3,True
SPAN 421,Spanish Medieval Literature,3,True
SPAN 436,Topics: Literature of the Spanish Golden Age,3,True
SPAN 439,Postwar Spanish Narrative,3,True
SPAN 440,Topics: Eighteenth and Nineteenth Century Hispanic Literature,3,True
SPAN 447,Contemporary Hispanic Fiction by Women,3,True
SPAN 450,Topics: Modern Hispanic Literature 1898-1936,3,True
SPAN 452,Advanced Business Spanish,3,True
SPAN 454,Introduction to Spanish Cinema,3,True
SPAN 455,"Selected Authors, Works and Themes",3-12,True
SPAN 460,Topics: Contemporary Hispanic Literature 1936-present,3,True
SPAN 462,Topics: Hispanic Short Fiction,3,True
SPAN 464,Contemporary Spanish American Literature by Women,3,True
SPAN 471,Latin American Film,3,True
SPAN 472,"Sugar, Salsa & Santeria: Spanish Caribbean",3,True
SPAN 473,From Amazons to Zombies,3,True
SPAN 474,Urban Space in Latin America & Iberia,3,True
SPAN 475,Topics: Spanish & Latin American Cultures,3,True
SPAN 476,Media-Savvy Populism from Ché to Chávez,3,True
SPAN 477,Drug Culture in Latin America,3,True
SPAN 478,Graphic Transgressions,3,True
SPAN 479,Resurrecting Mexico’s Dead,3,True
SPAN 490,Capstone Seminar in Hispanic Literature,3,True
SPAN 491,Spanish Studies Capstone,3,True
SPTM 320,Management of Intercollegiate Athletics,3,True
UAPP 406,Plan Sustainable Communities & Regions,3,True
